id,stratum,products,verdict,tier,scope,target_level,target_is_leaf,flagged_ancestor_level,ours,theirs,reason
1186,random,268,wrong,fuzzy-raw,vertical,3,True,False,Fashion > FASHION WANITA > ATASAN WANITA > KAUS WANITA,Busana dan Aksesori > Pakaian > Lingeri > Kaus Dalam Wanita,KAUS WANITA (women's T-shirts) -> 'Lingeri > Kaus Dalam Wanita' = women's UNDERSHIRTS; same failure mode as KAUS PRIA
7,random,241,wrong,fuzzy-raw,vertical,3,True,False,Alat dan Buku Tulis,Perlengkapan Kantor > Perlengkapan Kantor Umum > Produk Kertas > Alat Tulis,"our ROOT 'Alat dan Buku Tulis' -> 'Perlengkapan Kantor Umum > Produk Kertas > Alat Tulis', a paper-products leaf"
1149,random,232,wrong,fuzzy-raw,vertical,4,False,True,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK PEREMPUAN > PAKAIAN MUSLIM ANAK PEREMPUAN,Busana dan Aksesori > Pakaian > Pakaian Bayi & Anak > Pakaian Dalam Bayi & Anak > Pakaian Dalam Anak Perempuan,PAKAIAN MUSLIM ANAK PEREMPUAN -> 'Pakaian Dalam Anak Perempuan' = girls' UNDERWEAR
1519,random,188,correct,fuzzy-raw,global,3,True,False,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERALATAN RUMAH TANGGA > PERALATAN KEBERSIHAN RUMAH TANGGA > MASKER ANTI DEBU,Bisnis & Industri > Perlengkapan Pelindung Keselamatan Kerja > Masker Pelindung > Masker Debu,MASKER ANTI DEBU -> Masker Pelindung > Masker Debu
307,random,181,correct,exact-raw,vertical,4,False,True,Alat dan Buku Tulis > ALAT TULIS > PENSIL,Perlengkapan Kantor > Peralatan Kantor > Alat Tulis & Gambar > Pena & Pensil > Pensil,PENSIL -> Pena & Pensil > Pensil
287,random,158,wrong,fuzzy-raw,vertical,3,True,False,Elektronik > ALAT ELEKTRONIK RUMAH LAINNYA > KIPAS ANGIN,Rumah & Taman > Aksesori Peralatan Rumah Tangga > Aksesori Kipas > Remote Kipas Angin,KIPAS ANGIN (electric fans) -> 'Aksesori Kipas > Remote Kipas Angin' = fan REMOTE CONTROLS
1007,random,151,correct,exact-raw,vertical,6,True,False,"Hobi, Ibadah, dan Olahraga > MENJAHIT > BENANG > BENANG JAHIT",Seni & Hiburan > Hobi & Seni Kreatif > Seni & Kerajinan > Bahan Seni & Kerajinan > Serat Kerajinan > Benang & Floss > Benang Jahit,BENANG JAHIT -> Benang & Floss > Benang Jahit
390,random,124,ancestor,exact-stripped,vertical,1,False,True,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK PEREMPUAN,Busana dan Aksesori > Pakaian,"PAKAIAN ANAK PEREMPUAN -> 'Busana dan Aksesori > Pakaian', the whole clothing branch (level 1, non-leaf)"
1264,random,104,correct,exact-stripped,vertical,3,True,False,Fashion > TAS & KOPER > TAS PRIA > DOMPET PRIA,"Busana dan Aksesori > Tas Tangan, Dompet & Kotak > Dompet & Klip Uang > Dompet",DOMPET PRIA -> Dompet & Klip Uang > Dompet
1160,random,75,ancestor,exact-stripped,vertical,2,False,True,Fashion > FASHION ANAK & BAYI > PAKAIAN BAYI > TOPI BAYI,Busana dan Aksesori > Aksesori Pakaian > Topi,"TOPI BAYI -> 'Aksesori Pakaian > Topi', the generic hats node (level 2, non-leaf)"
